"last_name, first_name",pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
"Weiss, Ryan",680802,37.0,12.5,,,14.9,3.4,,,32.3,
"Lange, Alex",656638,13.0,22.8,10.3,32.2,21.6,,,,,
"Morán, Jovani",663558,39.3,2.5,15.6,,37.2,0.4,,,5.0,
"Williamson, Brandon",682227,20.5,10.6,26.4,,23.6,9.1,,,9.8,
"Crochet, Garrett",676979,33.6,22.4,24.7,,4.2,,0.8,,14.3,
"Hoffman, Jeff",656546,33.1,5.4,,37.9,,,23.6,,,
"Morejon, Adrian",670970,13.0,48.2,,21.4,17.5,,,,,
"Stanek, Ryne",592773,50.6,11.1,,24.8,,,13.1,,0.4,
"Hudson, Bryan",663542,66.7,8.3,2.6,,,,,,22.5,
"Parker, Mitchell",680730,30.8,,,53.4,,15.0,0.8,,,
"Webb, Jacob",657097,49.6,,,2.6,36.5,6.3,,,5.0,
"Seymour, Ian",693855,21.7,17.3,2.4,4.0,33.6,,,,21.1,
"Brazobán, Huascar",623211,5.0,48.9,1.4,1.2,43.5,,,,,
"Márquez, Germán",608566,37.7,10.4,,10.4,3.6,37.9,,,,
"Peralta, Wandy",593974,9.4,38.6,,17.2,34.8,,,,,
"Gómez, Yoendrys",672782,43.5,16.3,13.5,,2.4,,,,24.3,
"Burke, Brock",656271,41.0,11.9,,29.2,17.9,,,,,
"Senzatela, Antonio",622608,35.2,11.7,32.6,3.0,7.8,9.7,,,,
"Orze, Eric",679358,24.0,,,12.5,,8.7,54.7,,,
"Nunez, Anthony",689296,27.7,16.2,3.0,,24.1,,,,28.9,
"Assad, Javier",665871,13.9,42.2,16.1,5.3,9.2,7.8,,,5.5,
"Bednar, David",670280,40.3,,,,,24.5,35.2,,,
"Headrick, Brent",687396,49.6,11.9,,35.0,,,3.5,,,
"Romero, JoJo",668941,2.3,43.5,,,18.1,,,,36.1,
"Bruihl, Justin",677865,9.0,45.6,0.6,,10.3,,,,34.5,
"Sterner, Justin",686993,40.0,,30.2,,,,,,29.8,
"Banda, Anthony",607455,28.3,23.0,,42.3,6.4,,,,,
"Moll, Sam",594580,9.7,37.6,,,15.3,,,,37.4,
"Holton, Tyler",663947,11.4,19.7,31.5,,13.9,4.6,,,19.0,
"Bazardo, Eduard",660825,0.6,62.9,,,,,1.7,,34.8,
"Svanson, Matt",694335,,47.6,21.2,,,,,,31.2,
"Smith, Cade",671922,61.2,,,,,,25.5,,13.4,
"King, Bryan",687911,59.4,11.7,,,0.8,,,,28.0,
"O'Brien, Riley",676617,,57.4,,11.6,0.8,,,,30.3,
"Sisk, Evan",681895,15.2,30.3,,,10.3,25.1,,,19.2,
"Matthews, Zebby",805673,38.0,2.8,10.4,19.7,13.8,15.3,,,,
"Finnegan, Kyle",640448,55.1,,,11.3,,,33.6,,,
"Feltner, Ryan",663372,24.9,13.6,,25.3,16.8,7.9,,,11.5,
