player_id,name,throws
643377,"Jax, Griffin",R
571927,"Matz, Steven",L
660271,"Ohtani, Shohei",R
680694,"Bradish, Kyle",R
700241,"McGreevy, Michael",R
669461,"Liberatore, Matthew",L
681347,"Burrows, Mike",R
669371,"Henry, Cole",R
663855,"Hicks, Jordan",R
676477,"Whitlock, Garrett",R
681911,"Vesia, Alex",L
687941,"Gamboa, Alec",L
624428,"Frazier, Adam",R
666661,"Morillo, Juan",R
679358,"Orze, Eric",R
694335,"Svanson, Matt",R
660853,"De Los Santos, Enyel",R
621074,"Rucker, Michael",R
663542,"Hudson, Bryan",L
685112,"McCambley, Zach",R
453286,"Scherzer, Max",R
642152,"Trivino, Lou",R
683232,"Mears, Nick",R
701121,"VanWey, Logan",R
689690,"Jacob, Alek",R
669020,"Rolison, Ryan",L
665660,"Alvarado, Elvis",R
681982,"Anderson, Grant",R
688642,"Agnos, Zach",R
681799,"Roberts, Ethan",R
682842,"Uribe, Abner",R
628452,"Iglesias, Raisel",R
663559,"Falter, Bailey",L
682668,"Acuña, Luisangel",R
692030,"Corniell, Jose",R
691769,"Abner, Philip",L
595978,"Hedges, Austin",R
676263,"Dreyer, Jack",L
656638,"Lange, Alex",R
682227,"Williamson, Brandon",L
669084,"Hall, DL",L
702153,"Fitzpatrick, Brian",L
664731,"Higgins, P.J.",R
681168,"Curvelo, Luis",R
805673,"Matthews, Zebby",R
680474,"Schuemann, Max",R
668873,"Kilian, Caleb",R
680570,"Rodriguez, Grayson",R
663158,"Suarez, Robert",R
676467,"Gordon, Colton",L
700669,"Graceffo, Gordon",R
681806,"Wantz, Andrew",R
680916,"Aleman, Franco",R
665645,"Castro, Kervin",R
696070,"Rojas, Kendry",L
666974,"Cano, Yennier",R
623211,"Brazobán, Huascar",R
685299,"Gordon, Tanner",R
621139,"Kriske, Brooks",R
622088,"Antone, Tejay",R
663767,"Shugart, Chase",R
672782,"Gómez, Yoendrys",R
656212,"Barnes, Charlie",L
623454,"Anderson, Drew",R
572143,"Smith, Burch",R
691951,"Aldegheri, Sam",L
650556,"Abreu, Bryan",R
656986,"Sousa, Bennett",L
686678,"Solesky, Chase",R
682610,"Muñoz, Roddery",R
669093,"Estrada, Jeremiah",R
608566,"Márquez, Germán",R
656271,"Burke, Brock",L
674841,"Alvarez, Andrew",L
676510,"Hoffman, Nolan",R
680702,"Gerber, Joey",R
686560,"Collyer, Gavin",R
592155,"Booser, Cam",L
666711,"Peguero, Joel",R
702752,"Pintaro, Jonathan",R
592773,"Stanek, Ryne",R
687765,"Spence, Mitch",R
667463,"King, John",L
605441,"Ríos, Yacksel",R
695534,"Petty, Chase",R
675911,"Strider, Spencer",R
606115,"Arcia, Orlando",R
665622,"Medina, Luis",R
605447,"Romano, Jordan",R
689149,"Dallas, Chad",R
696519,"Natera Jr., Samy",L
656457,"Gilbert, Tyler",L
686894,"Wiemer, Joey",R
699134,"Rodriguez, Bradgley",R
686228,"Burgos, Juan",R
689818,"Sandlin, David",R
641835,"Mayza, Tim",L
684974,"Yoho, Craig",R
680730,"Parker, Mitchell",L
670912,"Oviedo, Johan",R
680802,"Weiss, Ryan",R
686753,"Jameson, Drey",R
662253,"Muñoz, Andrés",R
694795,"Ekness, Josh",R
691548,"Muñoz, Rolddy",R
656730,"Megill, Trevor",R
689546,"Davila, Nick",R
621345,"Minter, A.J.",L
608723,"Voth, Austin",R
642528,"Loáisiga, Jonathan",R
695611,"Jump, Gage",L
669704,"Strowd, Kade",R
595014,"Treinen, Blake",R
678022,"Perkins, Jack",R
669684,"Murphy, Chris",L
680704,"Sandlin, Nick",R
660825,"Bazardo, Eduard",R
681870,"Sabrowski, Erik",L
685126,"Eisert, Brandon",L
661563,"Gil, Luis",R
695243,"Miller, Mason",R
656529,"Hentges, Sam",L
670183,"Acton, Garrett",R
680755,"Fisher, Braydon",R
676571,"Poulin, PJ",L
675919,"Raquet, Nick",L
690990,"Horton, Cade",R
687911,"King, Bryan",L
694646,"McDermott, Chayce",R
650960,"Duarte, Daniel",R
672582,"Zerpa, Angel",L
810938,"Williamson, Ben",R
640454,"Krook, Matt",L
694918,"Tidwell, Blade",R
624522,"Thompson, Keegan",R
669212,"Morgan, Eli",R
680742,"Bowlan, Jonathan",R
676428,"Hurter, Brant",L
647315,"Pop, Zach",R
680744,"Madden, Ty",R
805326,"Schweitzer, Tyler",L
641941,"Pagán, Emilio",R
702303,"Martin, Riley",L
692230,"Rodriguez, Carlos",R
592779,"Stewart, Brock",R
676979,"Crochet, Garrett",L
682995,"Barco, Hunter",L
694297,"Pfaadt, Brandon",R
642759,"Fernández, Julian",R
592094,"Adam, Jason",R
690928,"Dobbins, Hunter",R
663765,"Woodford, Jake",R
641312,"Anderson, Shaun",R
688107,"Gasser, Robert",L
666374,"Brash, Matt",R
608650,"Enns, Dietrich",L
543037,"Cole, Gerrit",R
800311,"Fuentes, Didier",R
663738,"Lynch IV, Daniel",L
837227,"Imai, Tatsuya",R
621237,"Alvarado, José",L
642701,"Santana, Dennis",R
608371,"Sims, Lucas",R
676661,"Lazar, Max",R
596001,"Junis, Jakob",R
669169,"Heasley, Jonathan",R
668970,"Hollowell, Gavin",R
686475,"Tolbert, Tyler",R
663574,"Santillan, Tony",R
